ESTAB,EMPSZES,NAICS2012,zipcode,year
3,220,71,37211,2015
4,230,71,37211,2015
1,241,71,37211,2015
2,242,71,37211,2015
1,251,71,37211,2015
0,252,71,37211,2015
0,254,71,37211,2015
0,260,71,37211,2015
168,1,72,37211,2015
55,212,72,37211,2015
24,220,72,37211,2015
39,230,72,37211,2015
39,241,72,37211,2015
9,242,72,37211,2015
0,251,72,37211,2015
1,252,72,37211,2015
1,254,72,37211,2015
0,260,72,37211,2015
104,1,71,37212,2015
72,212,71,37212,2015
16,220,71,37212,2015
11,230,71,37212,2015
5,241,71,37212,2015
0,242,71,37212,2015
0,251,71,37212,2015
0,252,71,37212,2015
0,254,71,37212,2015
0,260,71,37212,2015
65,1,72,37212,2015
16,212,72,37212,2015
10,220,72,37212,2015
12,230,72,37212,2015
22,241,72,37212,2015
4,242,72,37212,2015
1,251,72,37212,2015
0,252,72,37212,2015
0,254,72,37212,2015
0,260,72,37212,2015
19,1,71,37214,2015
9,212,71,37214,2015
5,220,71,37214,2015
1,230,71,37214,2015
1,241,71,37214,2015
0,242,71,37214,2015
2,251,71,37214,2015
1,252,71,37214,2015
0,254,71,37214,2015
0,260,71,37214,2015
172,1,72,37214,2015
30,212,72,37214,2015
25,220,72,37214,2015
40,230,72,37214,2015
55,241,72,37214,2015
9,242,72,37214,2015
12,251,72,37214,2015
0,252,72,37214,2015
0,254,72,37214,2015
1,260,72,37214,2015
54,1,71,37215,2015
40,212,71,37215,2015
6,220,71,37215,2015
4,230,71,37215,2015
2,241,71,37215,2015
0,242,71,37215,2015
2,251,71,37215,2015
0,252,71,37215,2015
0,254,71,37215,2015
0,260,71,37215,2015
54,1,72,37215,2015
8,212,72,37215,2015
10,220,72,37215,2015
11,230,72,37215,2015
21,241,72,37215,2015
3,242,72,37215,2015
1,251,72,37215,2015
0,252,72,37215,2015
0,254,72,37215,2015
0,260,72,37215,2015
8,1,71,37216,2015
5,212,71,37216,2015
2,220,71,37216,2015
0,230,71,37216,2015
0,241,71,37216,2015
0,242,71,37216,2015
1,251,71,37216,2015
0,252,71,37216,2015
0,254,71,37216,2015
0,260,71,37216,2015
28,1,72,37216,2015
4,212,72,37216,2015
1,220,72,37216,2015
9,230,72,37216,2015
13,241,72,37216,2015
1,242,72,37216,2015
0,251,72,37216,2015
0,252,72,37216,2015
0,254,72,37216,2015
0,260,72,37216,2015
5,1,71,37217,2015
2,212,71,37217,2015
1,220,71,37217,2015
1,230,71,37217,2015
0,241,71,37217,2015
1,242,71,37217,2015
0,251,71,37217,2015
0,252,71,37217,2015
0,254,71,37217,2015
0,260,71,37217,2015
60,1,72,37217,2015
18,212,72,37217,2015
14,220,72,37217,2015
10,230,72,37217,2015
15,241,72,37217,2015
3,242,72,37217,2015
0,251,72,37217,2015
0,252,72,37217,2015
0,254,72,37217,2015
0,260,72,37217,2015
1,1,71,37218,2015
0,212,71,37218,2015
0,220,71,37218,2015
0,230,71,37218,2015
0,241,71,37218,2015
1,242,71,37218,2015
0,251,71,37218,2015
0,252,71,37218,2015
0,254,71,37218,2015
0,260,71,37218,2015
11,1,72,37218,2015
3,212,72,37218,2015
2,220,72,37218,2015
4,230,72,37218,2015
2,241,72,37218,2015
0,242,72,37218,2015
0,251,72,37218,2015
0,252,72,37218,2015
0,254,72,37218,2015
0,260,72,37218,2015
10,1,71,37219,2015
6,212,71,37219,2015
1,220,71,37219,2015
0,230,71,37219,2015
1,241,71,37219,2015
1,242,71,37219,2015
0,251,71,37219,2015
1,252,71,37219,2015
0,254,71,37219,2015
0,260,71,37219,2015
45,1,72,37219,2015
25,212,72,37219,2015
6,220,72,37219,2015
4,230,72,37219,2015
7,241,72,37219,2015
1,242,72,37219,2015
2,251,72,37219,2015
0,252,72,37219,2015
0,254,72,37219,2015
0,260,72,37219,2015
10,1,71,37220,2015
7,212,71,37220,2015
2,220,71,37220,2015
1,230,71,37220,2015
0,241,71,37220,2015
0,242,71,37220,2015
0,251,71,37220,2015
0,252,71,37220,2015
0,254,71,37220,2015
0,260,71,37220,2015
8,1,72,37220,2015
4,212,72,37220,2015
2,220,72,37220,2015
0,230,72,37220,2015
2,241,72,37220,2015
0,242,72,37220,2015
0,251,72,37220,2015
0,252,72,37220,2015
0,254,72,37220,2015
0,260,72,37220,2015
16,1,71,37221,2015
10,212,71,37221,2015
4,220,71,37221,2015
1,230,71,37221,2015
0,241,71,37221,2015
0,242,71,37221,2015
1,251,71,37221,2015
0,252,71,37221,2015
0,254,71,37221,2015
0,260,71,37221,2015
72,1,72,37221,2015
14,212,72,37221,2015
9,220,72,37221,2015
18,230,72,37221,2015
28,241,72,37221,2015
2,242,72,37221,2015
1,251,72,37221,2015
0,252,72,37221,2015
0,254,72,37221,2015
0,260,72,37221],2015
